Time,Price
483,1.34602
484,1.3445
485,1.34303
486,1.34364
487,1.33992
488,1.34116
489,1.34232
490,1.34456
491,1.34411
492,1.3442
493,1.34857
494,1.34861
495,1.35142
496,1.35291
497,1.35351
498,1.35431
